wc_match_id,event_slug,market_type,question,condition_id,yes_token,market_open,kickoff_utc,closed_time,resolved_yes,volume_usd
1,fifwc-mex-rsa-2026-06-11,home,Will Mexico win on 2026-06-11?,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,2026-04-06T22:46:59.626243Z,2026-06-11T19:00:00Z,2026-06-11 23:32:03+00,1,10340701.03032523
1,fifwc-mex-rsa-2026-06-11,draw,Will Mexico vs. South Africa end in a draw?,0x0a4b9beb6128863db2b107f185521597a426356f1d9a23c7001401edfd32014b,11634144673803325466643188834337300341803737096067092239834760823912726000274,2026-04-06T22:47:07.458256Z,2026-06-11T19:00:00Z,2026-06-11 23:06:33+00,0,1433105.042216997
1,fifwc-mex-rsa-2026-06-11,away,Will South Africa win on 2026-06-11?,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,115307860962719805060784163204351769077176612029040401546976102705811910754396,2026-04-06T22:47:09.431733Z,2026-06-11T19:00:00Z,2026-06-11 23:06:33+00,0,3279637.5477360315
2,fifwc-kr-cze-2026-06-11,home,Will Korea Republic win on 2026-06-11?,0x7061e7ce4d7744677b6c3a7d1db0f82eb90c342104167386619d75777a6083c1,52684921837049562400037353238223049293166344115053393981883920285480538360105,2026-04-06T22:27:00.246196Z,2026-06-12T02:00:00Z,2026-06-12 06:23:03+00,1,11005658.482559443
2,fifwc-kr-cze-2026-06-11,draw,Will Korea Republic vs. Czechia end in a draw?,0xb3e5963c18d0fbe9285a35e65aa260b304a3cded6aaddab9507122caa33caf44,49396156480688770869378179133906823616889681020710122888263516916801618839975,2026-04-06T22:27:04.328004Z,2026-06-12T02:00:00Z,2026-06-12 05:58:03+00,0,1952709.1204000176
2,fifwc-kr-cze-2026-06-11,away,Will Czechia win on 2026-06-11?,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,77191186536909014586922022659322569099273509749066699749214305589630021269429,2026-04-06T22:27:10.454507Z,2026-06-12T02:00:00Z,2026-06-12 05:58:03+00,0,2599645.986043998
3,fifwc-cze-rsa-2026-06-18,home,Will Czechia win on 2026-06-18?,0x825bc4151fd9c139c4f0400c1a6f5d60cf67b2d04f12d69fd9fb5de67b13e4bc,37088846718363125743947103938325144949409419304219830474975395227343762118615,2026-04-06T22:41:31.40597Z,2026-06-18T16:00:00Z,2026-06-18 18:12:05+00,0,23866870.866488546
3,fifwc-cze-rsa-2026-06-18,draw,Will Czechia vs. South Africa end in a draw?,0x0fac1fde9bf271efa6a8bcd382db88003f661f051ee7644c85ff96a6a4b2e57a,25547941541163379167027433013111695108245471419110558598651133766324877924515,2026-04-06T22:41:37.429186Z,2026-06-18T16:00:00Z,2026-06-18 18:17:17+00,1,6102089.1912379945
3,fifwc-cze-rsa-2026-06-18,away,Will South Africa win on 2026-06-18?,0x845d6997f4b60fbcf81e8cac4510bb18988efe56e0318d77e476124c9ce80ce8,29904085738634800807850286108673899231278214025131538572228243310371586316124,2026-04-06T22:41:43.134155Z,2026-06-18T16:00:00Z,2026-06-18 18:11:05+00,0,3358556.7422589813
4,fifwc-mex-kr-2026-06-18,home,Will Mexico win on 2026-06-18?,0x6f05c7bc5ad978f8f9916f05d30a7f752e02b81508c56d82ed7c9245bca163b0,84622337225923971667543390025202237459542894380445135038857655043890030217262,2026-04-06T22:24:28.601021Z,2026-06-19T01:00:00Z,2026-06-19 03:16:17+00,1,12384636.801802278
4,fifwc-mex-kr-2026-06-18,draw,Will Mexico vs. Korea Republic end in a draw?,0x95e8c492f878a1c6b04e47caceee107037a26e4a8b040041b28a3be8eb0f6942,51958120300750633024043231741875227303543295888125840580124643399830654381246,2026-04-06T22:24:32.698457Z,2026-06-19T01:00:00Z,2026-06-19 03:10:16+00,0,3443068.2539399844
4,fifwc-mex-kr-2026-06-18,away,Will Korea Republic win on 2026-06-18?,0xa6ae199ce172475dd0e29d7584810a15a1d4608398d2f42d7ca39bfac45ed52b,40559900670015709472472801511880289852513956415696043408438494025364180866146,2026-04-06T22:24:38.694424Z,2026-06-19T01:00:00Z,2026-06-19 03:08:19+00,0,11984525.580031335
5,fifwc-cze-mex-2026-06-24,home,Will Czechia win on 2026-06-24?,0xb7297ad99cd8e4957c64aca2fbf143efeb7045e95826cf4aa6b327ebfe1f1ec3,75582324068408801617260879555413324403573690501232841899134550992026699982390,2026-04-06T22:31:04.400674Z,2026-06-25T01:00:00Z,2026-06-25 03:09:16+00,0,3327606.323223977
5,fifwc-cze-mex-2026-06-24,draw,Will Czechia vs. Mexico end in a draw?,0x9de91738929365f104420a4246815a47ea2017b17e30370fa4572ceb84d898b9,104735262279610516248406908690291013202167988132813028132950707551552452029652,2026-04-06T22:31:10.424576Z,2026-06-25T01:00:00Z,2026-06-25 03:09:37+00,0,1726774.682267998
5,fifwc-cze-mex-2026-06-24,away,Will Mexico win on 2026-06-24?,0x1f5cd4d1a23c11229b2781303dd39fb60ec6ee369dd173cedef8a7f7a1a27298,67466148034529849001749283892995420841255740280965377423907471965663421834164,2026-04-06T22:31:20.478101Z,2026-06-25T01:00:00Z,2026-06-25 03:14:34+00,1,12546755.069057487
6,fifwc-rsa-kr-2026-06-24,home,Will South Africa win on 2026-06-24?,0xe9b6af2b81a59d36a47915db6f54b6af0e3dd19883382aacc41fe82e43cc2313,58830526078196302612867530222421263708170468828968028907746961007548153805793,2026-04-06T22:38:11.503733Z,2026-06-25T01:00:00Z,2026-06-25 03:18:46+00,1,5584798.580330925
6,fifwc-rsa-kr-2026-06-24,draw,Will South Africa vs. Korea Republic end in a draw?,0x16c51ebf6cea99ba2d958910e743690b40c46c2a426eab1709cd934d8364a96c,103052895473654725211234208718417485025769469987098102360162412805062007216205,2026-04-06T22:38:17.783248Z,2026-06-25T01:00:00Z,2026-06-25 03:10:17+00,0,2326981.615086985
6,fifwc-rsa-kr-2026-06-24,away,Will Korea Republic win on 2026-06-24?,0x374d4c9c12e766653de985450899cf2181edf47189894bc9c870216b5c6b1d83,78041669573197271831143243516603089617333411410934465631182277350983388128942,2026-04-06T22:38:24.203396Z,2026-06-25T01:00:00Z,2026-06-25 03:10:50+00,0,16644052.228769382
7,fifwc-can-bih-2026-06-12,home,Will Canada win on 2026-06-12?,0x802adc7238db42d431521f625b2a367954d04ebf8836109257dd4a3b961c6108,94742454704773778167568688948405770414791647129006368131301932311609594298387,2026-04-06T22:45:19.880247Z,2026-06-12T19:00:00Z,2026-06-12 23:00:03+00,0,10789560.30480742
7,fifwc-can-bih-2026-06-12,draw,Will Canada vs. Bosnia and Herzegovina end in a draw?,0xeda55c7409e9f0f436377ea300db42db6c576277846df770abd1391828dde639,22172667310022772208699373598096867628027942277851933544696144873879741224440,2026-04-06T22:45:23.852528Z,2026-06-12T19:00:00Z,2026-06-12 23:25:27+00,1,1739460.341858996
7,fifwc-can-bih-2026-06-12,away,Will Bosnia and Herzegovina win on 2026-06-12?,0x3bb3f35e86949207b257f1f3288a8ceaf071638cbd10a3c9a8273b4f542d4ee0,74187637053502514449598313026757559914734686113697608141302796666649587118979,2026-04-06T22:45:25.738366Z,2026-06-12T19:00:00Z,2026-06-12 23:00:03+00,0,6168225.7688470185
8,fifwc-qat-che-2026-06-13,home,Will Qatar win on 2026-06-13?,0x415cb64cfa04f2cde4ec39c5a81050cc9fb539b9b6972e72cce16b46e0e33a5b,87801481723150143095656392688212600042782229576502495783917440071310994656016,2026-04-06T22:27:22.915798Z,2026-06-13T19:00:00Z,2026-06-13 23:06:57+00,0,7111085.21857801
8,fifwc-qat-che-2026-06-13,draw,Will Qatar vs. Switzerland end in a draw?,0x639c60e4a74ea30a30b637625813d3fabed195d88072a488f8b7ac6441b930ae,84958042326881081629130565587739718054426374664464529827722909775907948361787,2026-04-06T22:27:26.980521Z,2026-06-13T19:00:00Z,2026-06-13 23:33:27+00,1,2037102.204283972
8,fifwc-qat-che-2026-06-13,away,Will Switzerland win on 2026-06-13?,0x6b864f35765706986a861d22fcc207872062186ddcb5fbc20275e991b20ff6ab,66066640081366099233010777058886646300763486736056057848435195209438713673265,2026-04-06T22:27:34.918597Z,2026-06-13T19:00:00Z,2026-06-13 23:06:57+00,0,6451012.17868902
9,fifwc-che-bih-2026-06-18,home,Will Switzerland win on 2026-06-18?,0x870bb248c96c52dcf35390a66542471c5bba2896942d6bc97ade41a418646ba8,106591280142630626115724651117201657682325101150171422307265130569697670708657,2026-04-06T22:27:40.956818Z,2026-06-18T19:00:00Z,2026-06-18 21:14:46+00,1,7126756.505122047
9,fifwc-che-bih-2026-06-18,draw,Will Switzerland vs. Bosnia and Herzegovina end in a draw?,0x04f0f21d77609ef19ef1c36749a8f522e471802384f484b80de4f789b1a90bb4,32304224949031261019227504618353662335004029148594248531414917789977278987468,2026-04-06T22:27:46.980327Z,2026-06-18T19:00:00Z,2026-06-18 21:09:05+00,0,2205847.6356120175
9,fifwc-che-bih-2026-06-18,away,Will Bosnia and Herzegovina win on 2026-06-18?,0x271f673391000932a03311e9a6ce6152eb4e1a60bda85a9ce7c14e87dadcdfd4,66489726367925595502503158446006075400401621519147621264189323965755835894613,2026-04-06T22:27:56.944526Z,2026-06-18T19:00:00Z,2026-06-18 21:09:05+00,0,2475195.3200010066
