source,bin,n,mean_p,observed
model,"(-0.001, 0.15]",47,0.09455331439950956,0.0851063829787234
model,"(0.15, 0.25]",79,0.20441840526709576,0.1518987341772152
model,"(0.25, 0.35]",78,0.2797005979003503,0.32051282051282054
model,"(0.35, 0.45]",29,0.40138114652306006,0.2413793103448276
model,"(0.45, 0.6]",35,0.5174794750874522,0.6571428571428571
model,"(0.6, 1.0]",44,0.7236013339469453,0.75
market,"(-0.001, 0.15]",65,0.08734354490737677,0.07692307692307693
market,"(0.15, 0.25]",78,0.2013311346794697,0.1794871794871795
market,"(0.25, 0.35]",62,0.28419633506072267,0.2903225806451613
market,"(0.35, 0.45]",20,0.3926935274895606,0.4
market,"(0.45, 0.6]",34,0.528537151515287,0.5294117647058824
market,"(0.6, 1.0]",53,0.7391421622820018,0.7735849056603774
