team,elo,in_wc2026,rank_overall
Spain,2225.6207994481742,True,1
Argentina,2189.3578332768675,True,2
France,2128.9410057154414,True,3
England,2094.350537113341,True,4
Brazil,2068.5471721071117,True,5
Colombia,2063.008218838383,True,6
Portugal,2059.4747440980145,True,7
Ecuador,2026.2517016175063,True,8
Netherlands,2009.0558174878713,True,9
Germany,2000.0844877896986,True,10
Japan,1992.6946224459248,True,11
Morocco,1984.7194635104472,True,12
Norway,1983.4444048152084,True,13
Mexico,1975.5171633188115,True,14
Uruguay,1974.2195399665716,True,15
Turkey,1973.8167672764275,True,16
Croatia,1973.7477967342206,True,17
Switzerland,1951.1310598515277,True,18
Belgium,1944.1967109688528,True,19
Denmark,1938.3054902430003,False,20
Italy,1935.302159492508,False,21
Paraguay,1917.8599555054927,True,22
Senegal,1912.5871178999887,True,23
Australia,1898.9438809361527,True,24
Canada,1894.4567435555525,True,25
Iran,1894.2071051701776,True,26
Austria,1884.8073675495282,True,27
Algeria,1883.166972652717,True,28
Nigeria,1881.0525058834419,False,29
South Korea,1879.4390830295652,True,30
Yugoslavia,1871.184020870175,False,31
Scotland,1851.7137946286311,True,32
Panama,1847.8333521248264,True,33
Ukraine,1836.4304640891992,False,34
Russia,1835.6930376063283,False,35
United States,1823.9662778847114,True,36
Venezuela,1821.6171678182939,False,37
Uzbekistan,1818.596982367959,True,38
Greece,1815.2352828541407,False,39
Ivory Coast,1813.9849264491686,True,40
Serbia,1811.5949487139299,False,41
Egypt,1809.3371208875085,True,42
Czech Republic,1805.6075043080978,True,43
Jersey,1805.2709525794821,False,44
Chile,1801.733388087444,False,45
Czechoslovakia,1801.2317074966975,False,46
Basque Country,1798.5111184875454,False,47
Kosovo,1781.7675351224725,False,48
Sweden,1774.9635278274718,True,49
Jordan,1773.8903632037664,True,50
Peru,1770.131896427127,False,51
Poland,1764.6408975245622,False,52
DR Congo,1762.4789131977182,True,53
Republic of Ireland,1760.8011597617667,False,54
Hungary,1759.463115793356,False,55
Northern Cyprus,1754.915147558789,False,56
Guernsey,1745.631451963018,False,57
Wales,1744.4097594893367,False,58
Costa Rica,1743.1486798816293,False,59
Slovenia,1737.191992462496,False,60
Iraq,1736.6055142700118,True,61
Tunisia,1736.5570082178926,True,62
German DR,1730.2390807184888,False,63
Cameroon,1723.322562856141,False,64
Slovakia,1718.1001715445132,False,65
New Zealand,1717.431837944383,True,66
Bolivia,1715.689527866088,False,67
Georgia,1711.8571724508538,False,68
Israel,1709.3800518384585,False,69
Isle of Man,1709.1559158128082,False,70
Mali,1707.134905738271,False,71
Romania,1702.6346482208362,False,72
Honduras,1699.7374601714498,False,73
Haiti,1696.0348973866348,True,74
Saudi Arabia,1691.1316710531594,True,75
Occitania,1684.247331801682,False,76
Albania,1672.123697018194,False,77
United Arab Emirates,1663.8361302517587,False,78
South Africa,1661.6596980171385,True,79
Padania,1660.8090744428712,False,80
Northern Ireland,1660.3811841909192,False,81
Isle of Wight,1660.248768832924,False,82
Catalonia,1654.5582552972353,False,83
Bosnia and Herzegovina,1652.3265364309257,True,84
Jamaica,1652.3206509032568,False,85
Cape Verde,1652.284951590982,True,86
North Macedonia,1650.7065959698552,False,87
Burkina Faso,1650.6481944998247,False,88
Iraqi Kurdistan,1644.2133900289864,False,89
Guatemala,1641.2700742638551,False,90
Ynys Môn,1639.8463783485997,False,91
Abkhazia,1627.8316893790975,False,92
Ghana,1623.8391000412976,True,93
Iceland,1620.2848539940103,False,94
Kárpátalja,1607.533017409909,False,95
Curaçao,1601.6488882449917,True,96
New Caledonia,1598.6272823308368,False,97
Syria,1597.420727647062,False,98
Kernow,1595.2399999076122,False,99
Andalusia,1592.226283163407,False,100
Rhodes,1591.609576098565,False,101
County of Nice,1590.770121996247,False,102
Angola,1588.057523418967,False,103
Tamil Eelam,1586.7550710041767,False,104
Palestine,1586.7406715534676,False,105
Panjab,1585.272034639916,False,106
Finland,1584.3503399537724,False,107
Suriname,1583.569918089305,False,108
Belarus,1583.1833392692151,False,109
Réunion,1582.370817733296,False,110
Guinea,1577.7313805792905,False,111
Oman,1572.4399072879444,False,112
Ellan Vannin,1569.4025147966486,False,113
Kurdistan,1567.1094800363574,False,114
Menorca,1566.263085827877,False,115
Qatar,1564.5332306910414,True,116
Artsakh,1556.0643703928736,False,117
Corsica,1555.6335307119161,False,118
Yorkshire,1553.2196216199438,False,119
Chameria,1553.1131955066407,False,120
China,1551.414265864807,False,121
Zambia,1549.470381070081,False,122
Quebec,1546.2925867665829,False,123
Arameans Suryoye,1545.5038998658583,False,124
Cascadia,1545.196062632676,False,125
Bahrain,1540.0581271345814,False,126
Benin,1538.4093332229331,False,127
Gambia,1537.999998533795,False,128
Zanzibar,1534.049833875283,False,129
Thailand,1533.1061667178342,False,130
Trinidad and Tobago,1531.4479191838277,False,131
Bulgaria,1530.9263485099416,False,132
Libya,1529.5680035241583,False,133
Maule Sur,1528.345836909456,False,134
Galicia,1527.4140378468094,False,135
Asturias,1520.5297736017358,False,136
Gabon,1520.5267954688097,False,137
Western Armenia,1518.2183562665125,False,138
Surrey,1516.2093765224,False,139
Montenegro,1515.0606618592637,False,140
Canary Islands,1514.973002407855,False,141
Biafra,1514.753622517887,False,142
Elba Island,1514.3072669720418,False,143
Parishes of Jersey,1513.87182135842,False,144
Uganda,1512.0122601139797,False,145
Guadeloupe,1511.7954543777607,False,146
Donetsk PR,1511.7947820752856,False,147
Madagascar,1509.2849698424086,False,148
Tahiti,1509.0716806754697,False,149
Mapuche,1508.4707999873015,False,150
Crimea,1507.5692287162174,False,151
Felvidék,1507.3445635305675,False,152
Silesia,1506.9604717321547,False,153
Brittany,1504.1609750671796,False,154
Shetland,1503.1210754820493,False,155
Indonesia,1502.510615551122,False,156
United Koreans in Japan,1501.4881559905552,False,157
Kazakhstan,1501.1443726463563,False,158
Délvidék,1500.2079751573651,False,159
Niger,1498.108619066337,False,160
Central Spain,1495.317158400716,False,161
Togo,1494.7867145612454,False,162
Saugeais,1494.7323312428166,False,163
Székely Land,1494.628174988772,False,164
Greenland,1494.1322011459672,False,165
Mozambique,1493.4721001611504,False,166
El Salvador,1492.8240329549078,False,167
North Korea,1492.136465992949,False,168
Cilento,1490.5312156821922,False,169
Nicaragua,1490.089596583448,False,170
Madrid,1489.4737717871699,False,171
Luhansk PR,1489.1597792424373,False,172
North Vietnam,1487.7989083444065,False,173
Seborga,1486.427395125345,False,174
Comoros,1485.067160353463,False,175
Sealand,1483.7213220590152,False,176
Yoruba Nation,1483.529197738283,False,177
Matabeleland,1482.5858300254047,False,178
Guyana,1481.2850489421335,False,179
Republic of St. Pauli,1480.9242937293072,False,180
Malaysia,1480.6150065490713,False,181
Sápmi,1478.773457411119,False,182
Franconia,1478.1286874473885,False,183
Somaliland,1476.6007322638673,False,184
South Ossetia,1475.8907143883878,False,185
Zimbabwe,1474.6167690496718,False,186
Ryūkyū,1474.4199909582915,False,187
West Papua,1474.3312629826712,False,188
Sudan,1474.135049099892,False,189
Martinique,1473.9793121854073,False,190
Åland Islands,1473.7548642851034,False,191
Kuwait,1473.6394447268067,False,192
Kenya,1469.9835754144028,False,193
Sierra Leone,1469.1134346932652,False,194
South Yemen,1468.803572319784,False,195
Gozo,1467.7641199914453,False,196
Vietnam,1467.3693484868727,False,197
Rouet-Provence,1465.3740114911989,False,198
Romani people,1463.3049952362553,False,199
Aymara,1463.1833631032425,False,200
Hmong,1461.060135313773,False,201
Dominican Republic,1460.9420764507047,False,202
Provence,1459.232268051425,False,203
Kabylia,1455.7940673099843,False,204
East Turkestan,1455.161710931265,False,205
Mayotte,1454.5635074302693,False,206
Papua New Guinea,1453.2912624562844,False,207
Kyrgyzstan,1451.3915954228219,False,208
Chechnya,1451.277946217669,False,209
Luxembourg,1450.0670266488544,False,210
Faroe Islands,1447.3834155345733,False,211
Saarland,1446.7490220223526,False,212
Rwanda,1446.6277392470395,False,213
Monaco,1445.2456876730819,False,214
French Guiana,1444.4601365789501,False,215
Mauritania,1443.6020449528362,False,216
Gotland,1443.3571525701475,False,217
Equatorial Guinea,1443.3554218443926,False,218
Lebanon,1440.8195880613728,False,219
Vanuatu,1440.5100542706055,False,220
Malawi,1436.7322600782904,False,221
Liberia,1436.2403036919375,False,222
Tajikistan,1436.2066048570225,False,223
Western Isles,1436.056883373937,False,224
Manchukuo,1430.353194449229,False,225
Găgăuzia,1429.7337825379286,False,226
Niue,1427.235177758524,False,227
Estonia,1423.6819000844741,False,228
Fiji,1422.66573696804,False,229
Namibia,1422.310242848471,False,230
Palau,1421.5511553747035,False,231
Marshall Islands,1417.5077054917924,False,232
Lesotho,1417.391259070958,False,233
Tanzania,1416.225897662639,False,234
Armenia,1413.0785954942485,False,235
Saint Barthélemy,1413.0303506270689,False,236
Vatican City,1410.2047406993447,False,237
Cuba,1406.9087222835851,False,238
Canton Ticino,1406.3350181993164,False,239
Two Sicilies,1404.333878330115,False,240
Western Sahara,1399.9391151838047,False,241
Orkney,1397.318785019583,False,242
Western Australia,1395.379341702833,False,243
Ethiopia,1391.2081087124536,False,244
Ambazonia,1389.0931031998389,False,245
Botswana,1386.1320432880311,False,246
Burundi,1386.0468490459414,False,247
Turkmenistan,1385.8130303142916,False,248
Raetia,1384.8867390808994,False,249
Azerbaijan,1379.578172504893,False,250
Solomon Islands,1369.2920205853543,False,251
Cyprus,1368.904082349638,False,252
Central African Republic,1360.984055955179,False,253
Guinea-Bissau,1359.9822114747717,False,254
Chagos Islands,1359.322391852939,False,255
Barawa,1358.7821493714218,False,256
Yemen DPR,1354.1173369942264,False,257
Saint Helena,1348.510268264291,False,258
Vietnam Republic,1346.9725048689004,False,259
Puerto Rico,1346.1131949463431,False,260
Malta,1344.8029018496297,False,261
Hitra,1343.3982380568996,False,262
Saint Vincent and the Grenadines,1342.9837544911138,False,263
Saare County,1340.9241448085163,False,264
Philippines,1339.0053284466292,False,265
Bermuda,1338.37905164554,False,266
Micronesia,1328.8520238669055,False,267
Congo,1328.5125539113255,False,268
Sark,1327.9356802655266,False,269
Moldova,1327.3809802460842,False,270
Latvia,1319.3267830246623,False,271
Lithuania,1318.2604742153399,False,272
Eswatini,1315.1249777730045,False,273
Hong Kong,1311.2879505141218,False,274
Yemen,1305.5134292145244,False,275
Wallis Islands and Futuna,1295.9385075233376,False,276
Singapore,1293.099928450601,False,277
Sint Maarten,1289.008477429811,False,278
Saint Martin,1287.514087182609,False,279
Saint Pierre and Miquelon,1287.4788487002552,False,280
Grenada,1280.869895223177,False,281
Belize,1280.3049209258497,False,282
Darfur,1275.4580521339221,False,283
South Sudan,1269.310096799404,False,284
Tibet,1267.8777895981918,False,285
Saint Kitts and Nevis,1263.1589443076487,False,286
Samoa,1248.926896852033,False,287
Chad,1245.2455895747094,False,288
Montserrat,1236.7619970492813,False,289
India,1235.7803212421425,False,290
Kiribati,1234.3344019831918,False,291
Saint Lucia,1223.256575259181,False,292
Tuvalu,1217.2248080278273,False,293
Falkland Islands,1214.5021359456907,False,294
Aruba,1213.5926238539262,False,295
Mauritius,1207.016730143408,False,296
Eritrea,1195.971157755,False,297
Frøya,1194.5489318970035,False,298
São Tomé and Príncipe,1180.3488578990905,False,299
Dominica,1173.854531759785,False,300
Afghanistan,1171.8746756096361,False,301
Cook Islands,1146.5484644807916,False,302
Andorra,1137.0949873687687,False,303
Myanmar,1134.7323208217017,False,304
Bangladesh,1131.3305487024147,False,305
Bonaire,1130.5361397736206,False,306
Antigua and Barbuda,1129.1681586828352,False,307
Barbados,1128.3734376818243,False,308
Pakistan,1119.8673880206156,False,309
Gibraltar,1118.1706003016657,False,310
Nepal,1102.1930713078916,False,311
Alderney,1076.9494737419038,False,312
Cambodia,1075.928681086384,False,313
Djibouti,1074.1808600516783,False,314
Tonga,1072.282122452212,False,315
Somalia,1059.730790797285,False,316
Taiwan,1057.851893880397,False,317
Cayman Islands,1050.976717381341,False,318
British Virgin Islands,1029.689375509245,False,319
Sri Lanka,1010.5841212095327,False,320
Seychelles,1009.5861304885893,False,321
Turks and Caicos Islands,1007.4803459218994,False,322
Maldives,996.3460297014541,False,323
United States Virgin Islands,991.2159156664968,False,324
Mongolia,980.4131494796495,False,325
Guam,975.3669125990092,False,326
Northern Mariana Islands,968.8629305980938,False,327
Bahamas,958.5264838815463,False,328
Liechtenstein,948.7805538436099,False,329
Laos,937.5296079918085,False,330
American Samoa,933.1388007889909,False,331
San Marino,916.3455568794121,False,332
Timor-Leste,903.7253596233961,False,333
Anguilla,903.1986291363814,False,334
Brunei,889.9237705099774,False,335
Bhutan,859.1081807831633,False,336
Macau,838.5401429504188,False,337
