wc_match_id,date,stage,home_team,away_team,bet,price,result_90,won,profit,cum_profit
1,2026-06-11,Group,Mexico,South Africa,H,0.685,H,1,68.97810218978103,68.97810218978103
2,2026-06-11,Group,South Korea,Czech Republic,H,0.375,H,1,249.99999999999997,318.978102189781
7,2026-06-12,Group,Canada,Bosnia and Herzegovina,H,0.535,D,0,-150.0,168.978102189781
19,2026-06-12,Group,United States,Paraguay,A,0.235,H,0,-150.0,18.978102189780998
8,2026-06-13,Group,Qatar,Switzerland,A,0.815,D,0,-150.0,-131.021897810219
13,2026-06-13,Group,Brazil,Morocco,H,0.575,D,0,-150.0,-281.021897810219
14,2026-06-13,Group,Haiti,Scotland,A,0.615,A,1,93.90243902439023,-187.11945878582878
20,2026-06-13,Group,Australia,Turkey,A,0.575,H,0,-150.0,-337.1194587858288
25,2026-06-14,Group,Germany,Curaçao,H,0.9415,H,1,9.320233669676048,-327.79922511615274
26,2026-06-14,Group,Ivory Coast,Ecuador,A,0.375,H,0,-150.0,-477.79922511615274
31,2026-06-14,Group,Netherlands,Japan,H,0.475,D,0,-150.0,-627.7992251161527
32,2026-06-14,Group,Sweden,Tunisia,H,0.515,H,1,141.2621359223301,-486.53708919382257
37,2026-06-15,Group,Belgium,Egypt,H,0.615,D,0,-150.0,-636.5370891938226
38,2026-06-15,Group,Iran,New Zealand,H,0.535,D,0,-150.0,-786.5370891938226
43,2026-06-15,Group,Spain,Cape Verde,H,0.915,D,0,-150.0,-936.5370891938226
44,2026-06-15,Group,Saudi Arabia,Uruguay,A,0.665,D,0,-150.0,-1086.5370891938226
49,2026-06-16,Group,France,Senegal,H,0.665,H,1,75.56390977443608,-1010.9731794193865
50,2026-06-16,Group,Iraq,Norway,A,0.815,A,1,34.04907975460123,-976.9240996647852
55,2026-06-16,Group,Argentina,Algeria,H,0.645,H,1,82.55813953488371,-894.3659601299015
56,2026-06-16,Group,Austria,Jordan,H,0.715,H,1,59.790209790209815,-834.5757503396917
61,2026-06-17,Group,Portugal,DR Congo,H,0.765,D,0,-150.0,-984.5757503396917
62,2026-06-17,Group,Uzbekistan,Colombia,A,0.705,A,1,62.76595744680852,-921.8097928928831
67,2026-06-17,Group,England,Croatia,H,0.565,H,1,115.48672566371683,-806.3230672291663
68,2026-06-17,Group,Ghana,Panama,A,0.295,H,0,-150.0,-956.3230672291663
3,2026-06-18,Group,Czech Republic,South Africa,H,0.525,D,0,-150.0,-1106.3230672291663
4,2026-06-18,Group,Mexico,South Korea,H,0.475,H,1,165.78947368421052,-940.5335935449558
9,2026-06-18,Group,Switzerland,Bosnia and Herzegovina,H,0.625,H,1,90.00000000000001,-850.5335935449558
10,2026-06-18,Group,Canada,Qatar,H,0.765,H,1,46.07843137254902,-804.4551621724067
15,2026-06-19,Group,Scotland,Morocco,A,0.565,A,1,115.48672566371683,-688.9684365086899
16,2026-06-19,Group,Brazil,Haiti,H,0.885,H,1,19.491525423728817,-669.4769110849611
21,2026-06-19,Group,United States,Australia,A,0.175,H,0,-150.0,-819.4769110849611
22,2026-06-19,Group,Turkey,Paraguay,H,0.465,A,0,-150.0,-969.4769110849611
27,2026-06-20,Group,Germany,Ivory Coast,H,0.655,H,1,79.00763358778624,-890.4692774971749
28,2026-06-20,Group,Ecuador,Curaçao,H,0.865,D,0,-150.0,-1040.469277497175
33,2026-06-20,Group,Netherlands,Sweden,H,0.565,H,1,115.48672566371683,-924.9825518334582
34,2026-06-20,Group,Tunisia,Japan,A,0.675,A,1,72.22222222222221,-852.760329611236
39,2026-06-21,Group,Belgium,Iran,H,0.675,D,0,-150.0,-1002.760329611236
40,2026-06-21,Group,New Zealand,Egypt,A,0.615,A,1,93.90243902439023,-908.8578905868458
45,2026-06-21,Group,Spain,Saudi Arabia,H,0.895,H,1,17.59776536312848,-891.2601252237173
46,2026-06-21,Group,Uruguay,Cape Verde,H,0.675,D,0,-150.0,-1041.2601252237173
51,2026-06-22,Group,France,Iraq,H,0.905,H,1,15.74585635359117,-1025.5142688701262
52,2026-06-22,Group,Norway,Senegal,H,0.445,H,1,187.07865168539328,-838.4356171847329
57,2026-06-22,Group,Argentina,Austria,H,0.675,H,1,72.22222222222221,-766.2133949625107
58,2026-06-22,Group,Jordan,Algeria,A,0.635,A,1,86.22047244094486,-679.9929225215659
63,2026-06-23,Group,Portugal,Uzbekistan,H,0.855,H,1,25.43859649122806,-654.5543260303378
64,2026-06-23,Group,Colombia,DR Congo,H,0.625,H,1,90.00000000000001,-564.5543260303378
69,2026-06-23,Group,England,Ghana,H,0.825,D,0,-150.0,-714.5543260303378
70,2026-06-23,Group,Panama,Croatia,A,0.665,A,1,75.56390977443608,-638.9904162559018
5,2026-06-24,Group,Czech Republic,Mexico,A,0.545,A,1,125.22935779816513,-513.7610584577367
6,2026-06-24,Group,South Africa,South Korea,A,0.575,H,0,-150.0,-663.7610584577367
11,2026-06-24,Group,Switzerland,Canada,A,0.285,H,0,-150.0,-813.7610584577367
12,2026-06-24,Group,Bosnia and Herzegovina,Qatar,H,0.705,H,1,62.76595744680852,-750.9951010109281
17,2026-06-24,Group,Scotland,Brazil,A,0.745,A,1,51.34228187919464,-699.6528191317335
18,2026-06-24,Group,Morocco,Haiti,H,0.825,H,1,31.818181818181824,-667.8346373135516
23,2026-06-25,Group,Turkey,United States,A,0.545,H,0,-150.0,-817.8346373135516
24,2026-06-25,Group,Paraguay,Australia,A,0.215,D,0,-150.0,-967.8346373135516
29,2026-06-25,Group,Curaçao,Ivory Coast,A,0.8305,A,1,30.614087898856113,-937.2205494146955
30,2026-06-25,Group,Ecuador,Germany,A,0.6395,H,0,-150.0,-1087.2205494146956
35,2026-06-25,Group,Japan,Sweden,H,0.5105,D,0,-150.0,-1237.2205494146956
36,2026-06-25,Group,Tunisia,Netherlands,A,0.895,A,1,17.59776536312848,-1219.6227840515671
41,2026-06-26,Group,Egypt,Iran,A,0.275,D,0,-150.0,-1369.6227840515671
42,2026-06-26,Group,New Zealand,Belgium,A,0.825,A,1,31.818181818181824,-1337.8046022333854
47,2026-06-26,Group,Cape Verde,Saudi Arabia,A,0.355,D,0,-150.0,-1487.8046022333854
48,2026-06-26,Group,Uruguay,Spain,A,0.605,A,1,97.93388429752066,-1389.8707179358646
53,2026-06-26,Group,Norway,France,A,0.595,A,1,102.10084033613445,-1287.76987759973
54,2026-06-26,Group,Senegal,Iraq,H,0.795,H,1,38.67924528301886,-1249.0906323167112
59,2026-06-27,Group,Algeria,Austria,A,0.255,D,0,-150.0,-1399.0906323167112
60,2026-06-27,Group,Jordan,Argentina,A,0.865,A,1,23.41040462427747,-1375.6802276924338
65,2026-06-27,Group,Colombia,Portugal,H,0.265,D,0,-150.0,-1525.6802276924338
66,2026-06-27,Group,DR Congo,Uzbekistan,A,0.165,H,0,-150.0,-1675.6802276924338
71,2026-06-27,Group,Panama,England,A,0.845,A,1,27.51479289940829,-1648.1654347930255
72,2026-06-27,Group,Croatia,Ghana,H,0.525,H,1,135.7142857142857,-1512.4511490787397
73,2026-06-28,Knockout,South Africa,Canada,A,0.595,A,1,102.10084033613445,-1410.3503087426052
74,2026-06-29,Knockout,Germany,Paraguay,H,0.725,D,0,-150.0,-1560.3503087426052
75,2026-06-29,Knockout,Netherlands,Morocco,H,0.405,D,0,-150.0,-1710.3503087426052
76,2026-06-29,Knockout,Brazil,Japan,H,0.565,H,1,115.48672566371683,-1594.8635830788883
77,2026-06-30,Knockout,France,Sweden,H,0.765,H,1,46.07843137254902,-1548.7851517063393
78,2026-06-30,Knockout,Ivory Coast,Norway,A,0.455,A,1,179.67032967032964,-1369.1148220360096
79,2026-06-30,Knockout,Mexico,Ecuador,H,0.435,H,1,194.82758620689654,-1174.2872358291131
80,2026-07-01,Knockout,England,DR Congo,H,0.765,H,1,46.07843137254902,-1128.2088044565642
81,2026-07-01,Knockout,United States,Bosnia and Herzegovina,H,0.705,H,1,62.76595744680852,-1065.4428470097557
82,2026-07-01,Knockout,Belgium,Senegal,H,0.455,D,0,-150.0,-1215.4428470097557
83,2026-07-02,Knockout,Portugal,Croatia,H,0.56875,H,1,113.73626373626374,-1101.706583273492
84,2026-07-02,Knockout,Spain,Austria,H,0.74875,H,1,50.333889816360596,-1051.3726934571314
85,2026-07-02,Knockout,Switzerland,Algeria,H,0.48625,H,1,158.48329048843186,-892.8894029686995
86,2026-07-03,Knockout,Argentina,Cape Verde,H,0.855,D,0,-150.0,-1042.8894029686994
87,2026-07-03,Knockout,Colombia,Ghana,H,0.685,H,1,68.97810218978103,-973.9113007789184
88,2026-07-03,Knockout,Australia,Egypt,H,0.265,D,0,-150.0,-1123.9113007789183
89,2026-07-04,Knockout,Paraguay,France,A,0.835,A,1,29.64071856287427,-1094.270582216044
90,2026-07-04,Knockout,Canada,Morocco,A,0.555,A,1,120.27027027027025,-974.0003119457738
91,2026-07-05,Knockout,Brazil,Norway,H,0.545,A,0,-150.0,-1124.0003119457738
92,2026-07-05,Knockout,Mexico,England,H,0.295,A,0,-150.0,-1274.0003119457738
93,2026-07-06,Knockout,Portugal,Spain,A,0.515,A,1,141.2621359223301,-1132.7381760234437
94,2026-07-06,Knockout,United States,Belgium,H,0.385,A,0,-150.0,-1282.7381760234437
95,2026-07-07,Knockout,Argentina,Egypt,H,0.725,H,1,56.89655172413794,-1225.8416242993057
96,2026-07-07,Knockout,Switzerland,Colombia,A,0.425,D,0,-150.0,-1375.8416242993057
97,2026-07-09,Knockout,France,Morocco,H,0.615,H,1,93.90243902439023,-1281.9391852749154
98,2026-07-10,Knockout,Spain,Belgium,H,0.59875,H,1,100.52192066805846,-1181.4172646068569
99,2026-07-11,Knockout,Norway,England,A,0.50125,D,0,-150.0,-1331.4172646068569
100,2026-07-11,Knockout,Argentina,Switzerland,H,0.57375,D,0,-150.0,-1481.4172646068569
101,2026-07-14,Knockout,France,Spain,A,0.29875,A,1,352.092050209205,-1129.325214397652
102,2026-07-15,Knockout,England,Argentina,A,0.31625,A,1,324.308300395257,-805.016914002395
103,2026-07-18,Knockout,France,England,H,0.515,A,0,-150.0,-955.016914002395
104,2026-07-19,Knockout,Spain,Argentina,H,0.42375,D,0,-150.0,-1105.016914002395
