wc_match_id,date,stage,home_team,away_team,bet,price,result_90,won,profit,cum_profit
1,2026-06-11,Group,Mexico,South Africa,H,0.685,H,1,68.97810218978103,68.97810218978103
2,2026-06-11,Group,South Korea,Czech Republic,H,0.375,H,1,249.99999999999997,318.978102189781
7,2026-06-12,Group,Canada,Bosnia and Herzegovina,H,0.535,D,0,-150.0,168.978102189781
26,2026-06-14,Group,Ivory Coast,Ecuador,A,0.375,H,0,-150.0,18.978102189780998
38,2026-06-15,Group,Iran,New Zealand,H,0.535,D,0,-150.0,-131.021897810219
55,2026-06-16,Group,Argentina,Algeria,H,0.645,H,1,82.55813953488371,-48.463758275335294
68,2026-06-17,Group,Ghana,Panama,A,0.295,H,0,-150.0,-198.4637582753353
4,2026-06-18,Group,Mexico,South Korea,H,0.475,H,1,165.78947368421052,-32.674284591124774
9,2026-06-18,Group,Switzerland,Bosnia and Herzegovina,H,0.625,H,1,90.00000000000001,57.32571540887524
64,2026-06-23,Group,Colombia,DR Congo,H,0.625,H,1,90.00000000000001,147.32571540887525
5,2026-06-24,Group,Czech Republic,Mexico,A,0.545,A,1,125.22935779816513,272.5550732070404
11,2026-06-24,Group,Switzerland,Canada,A,0.285,H,0,-150.0,122.55507320704038
24,2026-06-25,Group,Paraguay,Australia,A,0.215,D,0,-150.0,-27.44492679295962
35,2026-06-25,Group,Japan,Sweden,H,0.5105,D,0,-150.0,-177.44492679295962
41,2026-06-26,Group,Egypt,Iran,A,0.275,D,0,-150.0,-327.4449267929596
48,2026-06-26,Group,Uruguay,Spain,A,0.605,A,1,97.93388429752066,-229.51104249543897
59,2026-06-27,Group,Algeria,Austria,A,0.255,D,0,-150.0,-379.51104249543897
65,2026-06-27,Group,Colombia,Portugal,H,0.265,D,0,-150.0,-529.5110424954389
72,2026-06-27,Group,Croatia,Ghana,H,0.525,H,1,135.7142857142857,-393.79675678115325
79,2026-06-30,Knockout,Mexico,Ecuador,H,0.435,H,1,194.82758620689654,-198.9691705742567
87,2026-07-03,Knockout,Colombia,Ghana,H,0.685,H,1,68.97810218978103,-129.99106838447568
88,2026-07-03,Knockout,Australia,Egypt,H,0.265,D,0,-150.0,-279.9910683844757
92,2026-07-05,Knockout,Mexico,England,H,0.295,A,0,-150.0,-429.9910683844757
101,2026-07-14,Knockout,France,Spain,A,0.29875,A,1,352.092050209205,-77.89901817527067
102,2026-07-15,Knockout,England,Argentina,A,0.31625,A,1,324.308300395257,246.40928221998632
