wc_match_id,date,stage,home_team,away_team,bet,price,result_90,won,profit,cum_profit
1,2026-06-11,Group,Mexico,South Africa,H,0.685,H,1,68.97810218978103,68.97810218978103
2,2026-06-11,Group,South Korea,Czech Republic,H,0.375,H,1,249.99999999999997,318.978102189781
7,2026-06-12,Group,Canada,Bosnia and Herzegovina,H,0.535,D,0,-150.0,168.978102189781
19,2026-06-12,Group,United States,Paraguay,A,0.235,H,0,-150.0,18.978102189780998
13,2026-06-13,Group,Brazil,Morocco,A,0.165,D,0,-150.0,-131.021897810219
20,2026-06-13,Group,Australia,Turkey,H,0.175,H,1,707.1428571428571,576.1209593326381
25,2026-06-14,Group,Germany,Curaçao,D,0.0405,H,0,-150.0,426.1209593326381
26,2026-06-14,Group,Ivory Coast,Ecuador,A,0.375,H,0,-150.0,276.1209593326381
31,2026-06-14,Group,Netherlands,Japan,A,0.265,D,0,-150.0,126.12095933263811
32,2026-06-14,Group,Sweden,Tunisia,A,0.205,H,0,-150.0,-23.879040667361892
37,2026-06-15,Group,Belgium,Egypt,A,0.155,D,0,-150.0,-173.8790406673619
38,2026-06-15,Group,Iran,New Zealand,H,0.535,D,0,-150.0,-323.8790406673619
49,2026-06-16,Group,France,Senegal,A,0.125,H,0,-150.0,-473.8790406673619
50,2026-06-16,Group,Iraq,Norway,D,0.125,A,0,-150.0,-623.8790406673619
55,2026-06-16,Group,Argentina,Algeria,H,0.645,H,1,82.55813953488371,-541.3209011324782
56,2026-06-16,Group,Austria,Jordan,A,0.105,H,0,-150.0,-691.3209011324782
62,2026-06-17,Group,Uzbekistan,Colombia,H,0.095,A,0,-150.0,-841.3209011324782
67,2026-06-17,Group,England,Croatia,A,0.175,H,0,-150.0,-991.3209011324782
68,2026-06-17,Group,Ghana,Panama,A,0.295,H,0,-150.0,-1141.3209011324782
4,2026-06-18,Group,Mexico,South Korea,H,0.475,H,1,165.78947368421052,-975.5314274482677
9,2026-06-18,Group,Switzerland,Bosnia and Herzegovina,H,0.625,H,1,90.00000000000001,-885.5314274482677
15,2026-06-19,Group,Scotland,Morocco,H,0.165,A,0,-150.0,-1035.5314274482676
16,2026-06-19,Group,Brazil,Haiti,D,0.0765,H,0,-150.0,-1185.5314274482676
21,2026-06-19,Group,United States,Australia,A,0.175,H,0,-150.0,-1335.5314274482676
27,2026-06-20,Group,Germany,Ivory Coast,A,0.155,H,0,-150.0,-1485.5314274482676
39,2026-06-21,Group,Belgium,Iran,A,0.125,D,0,-150.0,-1635.5314274482676
40,2026-06-21,Group,New Zealand,Egypt,H,0.155,A,0,-150.0,-1785.5314274482676
51,2026-06-22,Group,France,Iraq,D,0.075,H,0,-150.0,-1935.5314274482676
58,2026-06-22,Group,Jordan,Algeria,H,0.145,A,0,-150.0,-2085.5314274482676
63,2026-06-23,Group,Portugal,Uzbekistan,D,0.105,H,0,-150.0,-2235.5314274482676
64,2026-06-23,Group,Colombia,DR Congo,H,0.625,H,1,90.00000000000001,-2145.5314274482676
70,2026-06-23,Group,Panama,Croatia,H,0.125,A,0,-150.0,-2295.5314274482676
5,2026-06-24,Group,Czech Republic,Mexico,A,0.545,A,1,125.22935779816513,-2170.3020696501026
11,2026-06-24,Group,Switzerland,Canada,A,0.285,H,0,-150.0,-2320.3020696501026
12,2026-06-24,Group,Bosnia and Herzegovina,Qatar,A,0.115,H,0,-150.0,-2470.3020696501026
17,2026-06-24,Group,Scotland,Brazil,H,0.095,A,0,-150.0,-2620.3020696501026
23,2026-06-25,Group,Turkey,United States,D,0.215,H,0,-150.0,-2770.3020696501026
24,2026-06-25,Group,Paraguay,Australia,A,0.215,D,0,-150.0,-2920.3020696501026
29,2026-06-25,Group,Curaçao,Ivory Coast,H,0.0545,A,0,-150.0,-3070.3020696501026
30,2026-06-25,Group,Ecuador,Germany,H,0.1715,H,1,724.6355685131194,-2345.6665011369832
35,2026-06-25,Group,Japan,Sweden,H,0.5105,D,0,-150.0,-2495.6665011369832
36,2026-06-25,Group,Tunisia,Netherlands,D,0.085,A,0,-150.0,-2645.6665011369832
41,2026-06-26,Group,Egypt,Iran,A,0.275,D,0,-150.0,-2795.6665011369832
42,2026-06-26,Group,New Zealand,Belgium,D,0.115,A,0,-150.0,-2945.6665011369832
48,2026-06-26,Group,Uruguay,Spain,A,0.605,A,1,97.93388429752066,-2847.7326168394625
53,2026-06-26,Group,Norway,France,D,0.205,A,0,-150.0,-2997.7326168394625
54,2026-06-26,Group,Senegal,Iraq,A,0.075,H,0,-150.0,-3147.7326168394625
59,2026-06-27,Group,Algeria,Austria,A,0.255,D,0,-150.0,-3297.7326168394625
65,2026-06-27,Group,Colombia,Portugal,H,0.265,D,0,-150.0,-3447.7326168394625
66,2026-06-27,Group,DR Congo,Uzbekistan,A,0.165,H,0,-150.0,-3597.7326168394625
71,2026-06-27,Group,Panama,England,D,0.105,A,0,-150.0,-3747.7326168394625
72,2026-06-27,Group,Croatia,Ghana,H,0.525,H,1,135.7142857142857,-3612.0183311251767
73,2026-06-28,Knockout,South Africa,Canada,H,0.155,A,0,-150.0,-3762.0183311251767
74,2026-06-29,Knockout,Germany,Paraguay,A,0.095,D,0,-150.0,-3912.0183311251767
76,2026-06-29,Knockout,Brazil,Japan,A,0.175,H,0,-150.0,-4062.0183311251767
79,2026-06-30,Knockout,Mexico,Ecuador,H,0.435,H,1,194.82758620689654,-3867.19074491828
83,2026-07-02,Knockout,Portugal,Croatia,A,0.17625,H,0,-150.0,-4017.19074491828
87,2026-07-03,Knockout,Colombia,Ghana,H,0.685,H,1,68.97810218978103,-3948.212642728499
88,2026-07-03,Knockout,Australia,Egypt,H,0.265,D,0,-150.0,-4098.212642728498
89,2026-07-04,Knockout,Paraguay,France,H,0.045,A,0,-150.0,-4248.212642728498
91,2026-07-05,Knockout,Brazil,Norway,A,0.205,A,1,581.7073170731708,-3666.5053256553274
92,2026-07-05,Knockout,Mexico,England,H,0.295,A,0,-150.0,-3816.5053256553274
97,2026-07-09,Knockout,France,Morocco,A,0.135,H,0,-150.0,-3966.5053256553274
101,2026-07-14,Knockout,France,Spain,A,0.29875,A,1,352.092050209205,-3614.4132754461225
102,2026-07-15,Knockout,England,Argentina,A,0.31625,A,1,324.308300395257,-3290.1049750508655
